Country,State,Year,Name Of The Coal Field,Type Of Coal,Depth Of The Reserve,Type Of Reserve,"Coal Reserved Quantity (UOM:t(Tonne)), Scaling Factor:1000000"
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Bisrampur,Non-Coking,300-600,Indicated,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Bisrampur,Non-Coking,300-600,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Bisrampur,Non-Coking,300-600,Proved,3
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Chirimiri,Non-Coking,0-300,Indicated,11
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Chirimiri,Non-Coking,0-300,Inferred,31
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Chirimiri,Non-Coking,0-300,Proved,320
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",East Bisrampur,Non-Coking,0-300,Indicated,165
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",East Bisrampur,Non-Coking,0-300,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",East Bisrampur,Non-Coking,0-300,Proved,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Hasdeo-Arand,Non-Coking,0-300,Indicated,3213
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Hasdeo-Arand,Non-Coking,0-300,Inferred,220
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Hasdeo-Arand,Non-Coking,0-300,Proved,2022
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Hasdeo-Arand,Non-Coking,300-600,Indicated,60
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Hasdeo-Arand,Non-Coking,300-600,Inferred,3
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Hasdeo-Arand,Non-Coking,300-600,Proved,10
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Jhilimili,Non-Coking,0-300,Indicated,39
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Jhilimili,Non-Coking,0-300,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Jhilimili,Non-Coking,0-300,Proved,228
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Korba,Non-Coking,0-300,Indicated,3493
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Korba,Non-Coking,0-300,Inferred,96
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Korba,Non-Coking,0-300,Proved,5964
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Korba,Non-Coking,300-600,Indicated,2269
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Korba,Non-Coking,300-600,Inferred,63
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Korba,Non-Coking,300-600,Proved,1088
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Korba,Non-Coking,600-1200,Indicated,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Korba,Non-Coking,600-1200,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Korba,Non-Coking,600-1200,Proved,2
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Lakhanpur,Non-Coking,0-300,Indicated,3
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Lakhanpur,Non-Coking,0-300,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Lakhanpur,Non-Coking,0-300,Proved,456
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Mand-Raigarh,Non-Coking,0-300,Indicated,10805
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Mand-Raigarh,Non-Coking,0-300,Inferred,419
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Mand-Raigarh,Non-Coking,0-300,Proved,12822
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Mand-Raigarh,Non-Coking,300-600,Indicated,10850
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Mand-Raigarh,Non-Coking,300-600,Inferred,505
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Mand-Raigarh,Non-Coking,300-600,Proved,5058
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Mand-Raigarh,Non-Coking,600-1200,Indicated,3204
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Mand-Raigarh,Non-Coking,600-1200,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Mand-Raigarh,Non-Coking,600-1200,Proved,98
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Panchbahini,Non-Coking,0-300,Indicated,11
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Panchbahini,Non-Coking,0-300,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Panchbahini,Non-Coking,0-300,Proved,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sendurgarh,Non-Coking,0-300,Indicated,126
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sendurgarh,Non-Coking,0-300,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sendurgarh,Non-Coking,0-300,Proved,153
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sohagpur,Non-Coking,0-300,Indicated,10
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sohagpur,Non-Coking,0-300,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sohagpur,Non-Coking,0-300,Proved,94
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Non-Coking,0-300,Indicated,842
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Non-Coking,0-300,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Non-Coking,0-300,Proved,200
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Non-Coking,300-600,Indicated,794
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Non-Coking,300-600,Inferred,2
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Non-Coking,300-600,Proved,94
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Non-Coking,600-1200,Indicated,569
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Non-Coking,600-1200,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Non-Coking,600-1200,Proved,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Semi-Coking,0-300,Indicated,16
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Semi-Coking,0-300,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Semi-Coking,0-300,Proved,71
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Semi-Coking,300-600,Indicated,83
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Semi-Coking,300-600,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Sonhat,Semi-Coking,300-600,Proved,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Tatapani-Ramkola,Non-Coking,0-300,Indicated,859
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Tatapani-Ramkola,Non-Coking,0-300,Inferred,14
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Tatapani-Ramkola,Non-Coking,0-300,Proved,586
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Tatapani-Ramkola,Non-Coking,300-600,Indicated,1762
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Tatapani-Ramkola,Non-Coking,300-600,Inferred,79
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Tatapani-Ramkola,Non-Coking,300-600,Proved,548
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Tatapani-Ramkola,Non-Coking,600-1200,Indicated,544
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Tatapani-Ramkola,Non-Coking,600-1200,Inferred,0
India,Chhattisgarh,"Financial Year (Apr - Mar), 2021",Tatapani-Ramkola,Non-Coking,600-1200,Proved,11
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Aurangabad,Non-Coking,0-300,Indicated,1241
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Aurangabad,Non-Coking,0-300,Inferred,43
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Aurangabad,Non-Coking,0-300,Proved,352
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Aurangabad,Non-Coking,300-600,Indicated,867
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Aurangabad,Non-Coking,300-600,Inferred,423
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Aurangabad,Non-Coking,300-600,Proved,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Aurangabad,Non-Coking,600-1200,Indicated,33
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Aurangabad,Non-Coking,600-1200,Inferred,37
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Aurangabad,Non-Coking,600-1200,Proved,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Daltongunj,Non-Coking,0-300,Indicated,60
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Daltongunj,Non-Coking,0-300,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Daltongunj,Non-Coking,0-300,Proved,84
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Deogarh,Non-Coking,0-300,Indicated,74
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Deogarh,Non-Coking,0-300,Inferred,0
India,Jharkhand,"Financial Year (Apr - Mar), 2021",Deogarh,Non-Coking,0-300,Proved,326
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Medium Coking,0-300,Indicated,1278
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Medium Coking,0-300,Inferred,19
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Medium Coking,0-300,Proved,2730
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Medium Coking,300-600,Indicated,1188
India,Jharkhand,"Financial Year (Apr - Mar), 2021",East Bokaro,Medium Coking,300-600,Inferred,59
