Country,State,Year,Name Of The Coal Field,Type Of Coal,Depth Of The Reserve,Type Of Reserve,"Coal Reserved Quantity (UOM:t(Tonne)), Scaling Factor:1000000"
India,West Bengal,"Financial Year (Apr - Mar), 2019",RANIGANJ,NON-COKING,600-1200,PROVED,314.08
India,West Bengal,"Financial Year (Apr - Mar), 2019",RANIGANJ,SEMI-COKING,0-300,INDICATED,14.16
India,West Bengal,"Financial Year (Apr - Mar), 2019",RANIGANJ,SEMI-COKING,0-300,PROVED,45.78
India,West Bengal,"Financial Year (Apr - Mar), 2019",RANIGANJ,SEMI-COKING,300-600,INDICATED,113.23
India,West Bengal,"Financial Year (Apr - Mar), 2019",RANIGANJ,SEMI-COKING,300-600,INFERRED,12.07
India,West Bengal,"Financial Year (Apr - Mar), 2019",RANIGANJ,SEMI-COKING,300-600,PROVED,120.92
India,West Bengal,"Financial Year (Apr - Mar), 2019",RANIGANJ,SEMI-COKING,600-1200,INDICATED,296.29
India,West Bengal,"Financial Year (Apr - Mar), 2019",RANIGANJ,SEMI-COKING,600-1200,INFERRED,127.69
India,West Bengal,"Financial Year (Apr - Mar), 2019",RANIGANJ,SEMI-COKING,600-1200,PROVED,58.63
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",GODAVARI,NON-COKING,0-300,INDICATED,482.46
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",GODAVARI,NON-COKING,0-300,INFERRED,45.03
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",GODAVARI,NON-COKING,300-600,INDICATED,584.72
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",GODAVARI,NON-COKING,300-600,INFERRED,107.75
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",GODAVARI,NON-COKING,600-1200,INDICATED,81.87
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",GODAVARI,NON-COKING,600-1200,INFERRED,278.87
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",MIAO BUM,HIGH SULPHUR,0-300,INFERRED,6
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INDICATED,40.11
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,INFERRED,12.89
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",NAMCHIK- NAMPHUK,HIGH SULPHUR,0-300,PROVED,31.23
India,Assam,"Financial Year (Apr - Mar), 2018",DILLI-JEYPORE,HIGH SULPHUR,0-300,INDICATED,22.02
India,Assam,"Financial Year (Apr - Mar), 2018",DILLI-JEYPORE,HIGH SULPHUR,0-300,PROVED,32
India,Assam,"Financial Year (Apr - Mar), 2018",MAKUM,HIGH SULPHUR,0-300,INDICATED,4.55
India,Assam,"Financial Year (Apr - Mar), 2018",MAKUM,HIGH SULPHUR,0-300,PROVED,246.24
India,Assam,"Financial Year (Apr - Mar), 2018",MAKUM,HIGH SULPHUR,300-600,INDICATED,16.15
India,Assam,"Financial Year (Apr - Mar), 2018",MAKUM,HIGH SULPHUR,300-600,PROVED,185.85
India,Assam,"Financial Year (Apr - Mar), 2018",MIKIR HILLS,HIGH SULPHUR,0-300,INDICATED,3.02
India,Assam,"Financial Year (Apr - Mar), 2018",MIKIR HILLS,HIGH SULPHUR,0-300,INFERRED,3.02
India,Assam,"Financial Year (Apr - Mar), 2018",MIKIR HILLS,HIGH SULPHUR,0-300,PROVED,0.69
India,Assam,"Financial Year (Apr - Mar), 2018",SINGRIMARI,NON-COKING,0-300,INDICATED,10.64
India,Assam,"Financial Year (Apr - Mar), 2018",SINGRIMARI,NON-COKING,300-600,INDICATED,3.46
India,Assam,"Financial Year (Apr - Mar), 2018",SINGRIMARI,SEMI-COKING,0-300,INDICATED,0.39
India,Bihar,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,0-300,INDICATED,194.36
India,Bihar,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,0-300,INFERRED,131.79
India,Bihar,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,0-300,PROVED,161.11
India,Bihar,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,300-600,INDICATED,480.14
India,Bihar,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,300-600,INFERRED,260.36
India,Bihar,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,600-1200,INDICATED,138.99
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",BISRAMPUR,NON-COKING,0-300,INDICATED,612.8
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",BISRAMPUR,NON-COKING,0-300,INFERRED,5.15
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",BISRAMPUR,NON-COKING,0-300,PROVED,1335.7
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",BISRAMPUR,NON-COKING,300-600,PROVED,0.22
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",CHIRIMIRI,NON-COKING,0-300,INDICATED,10.83
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",CHIRIMIRI,NON-COKING,0-300,INFERRED,31
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",CHIRIMIRI,NON-COKING,0-300,PROVED,320.33
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",EAST OF BISRAMPUR,NON-COKING,0-300,INDICATED,164.82
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",HASDO-ARAND,NON-COKING,0-300,INDICATED,3213.44
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",HASDO-ARAND,NON-COKING,0-300,INFERRED,220.15
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",HASDO-ARAND,NON-COKING,0-300,PROVED,2021.84
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",HASDO-ARAND,NON-COKING,300-600,INDICATED,59.98
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",HASDO-ARAND,NON-COKING,300-600,INFERRED,2.97
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",HASDO-ARAND,NON-COKING,300-600,PROVED,10.44
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",JHILIMILI,NON-COKING,0-300,INDICATED,38.9
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",JHILIMILI,NON-COKING,0-300,PROVED,228.2
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",KORBA,NON-COKING,0-300,INDICATED,3491.5
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",KORBA,NON-COKING,0-300,INFERRED,99.91
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",KORBA,NON-COKING,0-300,PROVED,5266.34
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",KORBA,NON-COKING,300-600,INDICATED,2292.2
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",KORBA,NON-COKING,300-600,INFERRED,68.11
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",KORBA,NON-COKING,300-600,PROVED,610.92
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",LAKHANPUR,NON-COKING,0-300,INDICATED,3.35
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",LAKHANPUR,NON-COKING,0-300,PROVED,455.88
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",MAND-RAIGARH,NON-COKING,0-300,INDICATED,11628.54
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",MAND-RAIGARH,NON-COKING,0-300,INFERRED,1043.19
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",MAND-RAIGARH,NON-COKING,0-300,PROVED,8005.5
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",MAND-RAIGARH,NON-COKING,300-600,INDICATED,6897.4
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",MAND-RAIGARH,NON-COKING,300-600,INFERRED,519.85
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",MAND-RAIGARH,NON-COKING,300-600,PROVED,1509.89
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",MAND-RAIGARH,NON-COKING,600-1200,INDICATED,645.04
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",PANCHBAHINI,NON-COKING,0-300,INDICATED,11
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SENDURGARH,NON-COKING,0-300,INDICATED,126.32
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SENDURGARH,NON-COKING,0-300,PROVED,152.89
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SOHAGPUR,NON-COKING,0-300,INDICATED,10.08
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SOHAGPUR,NON-COKING,0-300,PROVED,94.3
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SONHAT,NON-COKING,0-300,INDICATED,842.18
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SONHAT,NON-COKING,0-300,PROVED,200.49
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SONHAT,NON-COKING,300-600,INDICATED,793.53
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SONHAT,NON-COKING,300-600,INFERRED,1.89
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SONHAT,NON-COKING,300-600,PROVED,93.57
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SONHAT,NON-COKING,600-1200,INDICATED,568.85
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SONHAT,SEMI-COKING,0-300,INDICATED,16.45
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SONHAT,SEMI-COKING,0-300,PROVED,70.77
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",SONHAT,SEMI-COKING,300-600,INDICATED,82.8
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",TATAPANI-RAMKOLA,NON-COKING,0-300,INDICATED,1179.97
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",TATAPANI-RAMKOLA,NON-COKING,0-300,INFERRED,24.85
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",TATAPANI-RAMKOLA,NON-COKING,0-300,PROVED,50.43
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",TATAPANI-RAMKOLA,NON-COKING,300-600,INDICATED,1457.01
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",TATAPANI-RAMKOLA,NON-COKING,300-600,INFERRED,184.83
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",TATAPANI-RAMKOLA,NON-COKING,600-1200,INDICATED,429.27
India,Jharkhand,"Financial Year (Apr - Mar), 2018",AURANGA,NON-COKING,0-300,INDICATED,1241.22
India,Jharkhand,"Financial Year (Apr - Mar), 2018",AURANGA,NON-COKING,0-300,INFERRED,43.07
India,Jharkhand,"Financial Year (Apr - Mar), 2018",AURANGA,NON-COKING,0-300,PROVED,352.05
India,Jharkhand,"Financial Year (Apr - Mar), 2018",AURANGA,NON-COKING,300-600,INDICATED,867.01
India,Jharkhand,"Financial Year (Apr - Mar), 2018",AURANGA,NON-COKING,300-600,INFERRED,423.07
India,Jharkhand,"Financial Year (Apr - Mar), 2018",AURANGA,NON-COKING,600-1200,INDICATED,33.42
India,Jharkhand,"Financial Year (Apr - Mar), 2018",AURANGA,NON-COKING,600-1200,INFERRED,37.27
India,Jharkhand,"Financial Year (Apr - Mar), 2018",DALTONGANJ,NON-COKING,0-300,INDICATED,60.1
India,Jharkhand,"Financial Year (Apr - Mar), 2018",DALTONGANJ,NON-COKING,0-300,PROVED,83.86
India,Jharkhand,"Financial Year (Apr - Mar), 2018",DEOGARH,NON-COKING,0-300,INDICATED,73.6
India,Jharkhand,"Financial Year (Apr - Mar), 2018",DEOGARH,NON-COKING,0-300,PROVED,326.24
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,MEDIUM COKING,0-300,INDICATED,1277.9
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,MEDIUM COKING,0-300,INFERRED,18.71
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,MEDIUM COKING,0-300,PROVED,2729.99
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,MEDIUM COKING,300-600,INDICATED,1188.33
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,MEDIUM COKING,300-600,INFERRED,58.53
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,MEDIUM COKING,300-600,PROVED,407.44
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,MEDIUM COKING,600-1200,INDICATED,1394.07
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,MEDIUM COKING,600-1200,INFERRED,786.08
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,MEDIUM COKING,600-1200,PROVED,255.93
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,NON-COKING,0-300,INDICATED,56.81
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,NON-COKING,0-300,PROVED,95.17
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,NON-COKING,300-600,INDICATED,5.69
India,Jharkhand,"Financial Year (Apr - Mar), 2018",EAST BOKARO,NON-COKING,300-600,PROVED,8.9
India,Jharkhand,"Financial Year (Apr - Mar), 2018",HUTAR,NON-COKING,0-300,INDICATED,14.22
India,Jharkhand,"Financial Year (Apr - Mar), 2018",HUTAR,NON-COKING,0-300,INFERRED,32.48
India,Jharkhand,"Financial Year (Apr - Mar), 2018",HUTAR,NON-COKING,0-300,PROVED,190.79
India,Jharkhand,"Financial Year (Apr - Mar), 2018",HUTAR,NON-COKING,300-600,INDICATED,12.33
India,Jharkhand,"Financial Year (Apr - Mar), 2018",JHARIA,MEDIUM COKING,0-600,PROVED,4216.1
India,Jharkhand,"Financial Year (Apr - Mar), 2018",JHARIA,MEDIUM COKING,600-1200,INDICATED,1362.3
India,Jharkhand,"Financial Year (Apr - Mar), 2018",JHARIA,MEDIUM COKING,600-1200,PROVED,585.6
India,Jharkhand,"Financial Year (Apr - Mar), 2018",JHARIA,NON-COKING,0-600,INDICATED,444.86
India,Jharkhand,"Financial Year (Apr - Mar), 2018",JHARIA,NON-COKING,0-600,PROVED,5657.14
India,Jharkhand,"Financial Year (Apr - Mar), 2018",JHARIA,NON-COKING,600-1200,INDICATED,1355
India,Jharkhand,"Financial Year (Apr - Mar), 2018",JHARIA,NON-COKING,600-1200,PROVED,496
India,Jharkhand,"Financial Year (Apr - Mar), 2018",JHARIA,PRIME COKING,0-600,INDICATED,4.01
India,Jharkhand,"Financial Year (Apr - Mar), 2018",JHARIA,PRIME COKING,0-600,PROVED,4041.88
India,Jharkhand,"Financial Year (Apr - Mar), 2018",JHARIA,PRIME COKING,600-1200,INDICATED,660.18
India,Jharkhand,"Financial Year (Apr - Mar), 2018",JHARIA,PRIME COKING,600-1200,PROVED,606.99
India,Jharkhand,"Financial Year (Apr - Mar), 2018",NORTH KARANPURA,MEDIUM COKING,0-300,INDICATED,1163.22
India,Jharkhand,"Financial Year (Apr - Mar), 2018",NORTH KARANPURA,MEDIUM COKING,0-300,PROVED,485.08
India,Jharkhand,"Financial Year (Apr - Mar), 2018",NORTH KARANPURA,MEDIUM COKING,300-600,INDICATED,1635.92
India,Jharkhand,"Financial Year (Apr - Mar), 2018",NORTH KARANPURA,MEDIUM COKING,300-600,INFERRED,413.43
India,Jharkhand,"Financial Year (Apr - Mar), 2018",NORTH KARANPURA,MEDIUM COKING,300-600,PROVED,23.59
India,Jharkhand,"Financial Year (Apr - Mar), 2018",NORTH KARANPURA,NON-COKING,0-300,INDICATED,2367.24
India,Jharkhand,"Financial Year (Apr - Mar), 2018",NORTH KARANPURA,NON-COKING,0-300,INFERRED,722.03
India,Jharkhand,"Financial Year (Apr - Mar), 2018",NORTH KARANPURA,NON-COKING,0-300,PROVED,8611.34
India,Jharkhand,"Financial Year (Apr - Mar), 2018",NORTH KARANPURA,NON-COKING,300-600,INDICATED,1134.54
India,Jharkhand,"Financial Year (Apr - Mar), 2018",NORTH KARANPURA,NON-COKING,300-600,INFERRED,729.5
India,Jharkhand,"Financial Year (Apr - Mar), 2018",NORTH KARANPURA,NON-COKING,300-600,PROVED,1130.63
India,Jharkhand,"Financial Year (Apr - Mar), 2018",NORTH KARANPURA,NON-COKING,600-1200,PROVED,90.74
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,0-300,INDICATED,7229.14
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,0-300,INFERRED,462.04
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,0-300,PROVED,3664.19
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,300-600,INDICATED,3953.15
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,300-600,INFERRED,1151.95
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,300-600,PROVED,232.34
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,600-1200,INDICATED,30.46
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAJMAHAL,NON-COKING,600-1200,INFERRED,5.1
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAMGARH,MEDIUM COKING,0-300,INDICATED,37.55
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAMGARH,MEDIUM COKING,0-300,PROVED,562.69
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAMGARH,MEDIUM COKING,300-600,INDICATED,246.78
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAMGARH,MEDIUM COKING,300-600,PROVED,14.35
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAMGARH,NON-COKING,0-300,INDICATED,26.2
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAMGARH,NON-COKING,0-300,INFERRED,4.6
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAMGARH,NON-COKING,0-300,PROVED,7.13
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAMGARH,SEMI-COKING,0-300,INDICATED,95.33
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAMGARH,SEMI-COKING,0-300,INFERRED,0.55
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAMGARH,SEMI-COKING,0-300,PROVED,171.94
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAMGARH,SEMI-COKING,300-600,INDICATED,336.22
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RAMGARH,SEMI-COKING,300-600,INFERRED,52.9
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RANIGANJ,MEDIUM COKING,0-300,INDICATED,8.87
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RANIGANJ,MEDIUM COKING,0-300,PROVED,220
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RANIGANJ,MEDIUM COKING,300-600,INDICATED,8.3
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RANIGANJ,MEDIUM COKING,300-600,PROVED,49.23
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RANIGANJ,NON-COKING,0-300,INDICATED,89.32
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RANIGANJ,NON-COKING,0-300,INFERRED,29.55
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RANIGANJ,NON-COKING,0-300,PROVED,1111.53
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RANIGANJ,NON-COKING,300-600,INDICATED,320.07
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RANIGANJ,NON-COKING,300-600,INFERRED,2
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RANIGANJ,NON-COKING,300-600,PROVED,106.03
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RANIGANJ,SEMI-COKING,0-300,PROVED,51.4
India,Jharkhand,"Financial Year (Apr - Mar), 2018",RANIGANJ,SEMI-COKING,300-600,INDICATED,40
India,Jharkhand,"Financial Year (Apr - Mar), 2018",SOUTH KARANPURA,MEDIUM COKING,300-600,INDICATED,248.04
India,Jharkhand,"Financial Year (Apr - Mar), 2018",SOUTH KARANPURA,MEDIUM COKING,300-600,INFERRED,32.83
India,Jharkhand,"Financial Year (Apr - Mar), 2018",SOUTH KARANPURA,MEDIUM COKING,600-1200,INDICATED,265.36
India,Jharkhand,"Financial Year (Apr - Mar), 2018",SOUTH KARANPURA,MEDIUM COKING,600-1200,INFERRED,263.4
India,Jharkhand,"Financial Year (Apr - Mar), 2018",SOUTH KARANPURA,NON-COKING,0-300,INDICATED,379.03
India,Jharkhand,"Financial Year (Apr - Mar), 2018",SOUTH KARANPURA,NON-COKING,0-300,INFERRED,262.4
India,Jharkhand,"Financial Year (Apr - Mar), 2018",SOUTH KARANPURA,NON-COKING,0-300,PROVED,3240.77
India,Jharkhand,"Financial Year (Apr - Mar), 2018",SOUTH KARANPURA,NON-COKING,300-600,INDICATED,376.32
India,Jharkhand,"Financial Year (Apr - Mar), 2018",SOUTH KARANPURA,NON-COKING,300-600,INFERRED,584.65
India,Jharkhand,"Financial Year (Apr - Mar), 2018",SOUTH KARANPURA,NON-COKING,300-600,PROVED,1372.92
India,Jharkhand,"Financial Year (Apr - Mar), 2018",SOUTH KARANPURA,NON-COKING,600-1200,INDICATED,43.53
India,Jharkhand,"Financial Year (Apr - Mar), 2018",SOUTH KARANPURA,NON-COKING,600-1200,PROVED,562.39
India,Jharkhand,"Financial Year (Apr - Mar), 2018",WEST BOKARO,MEDIUM COKING,0-300,INDICATED,1129.11
India,Jharkhand,"Financial Year (Apr - Mar), 2018",WEST BOKARO,MEDIUM COKING,0-300,INFERRED,28.66
India,Jharkhand,"Financial Year (Apr - Mar), 2018",WEST BOKARO,MEDIUM COKING,0-300,PROVED,2972.28
India,Jharkhand,"Financial Year (Apr - Mar), 2018",WEST BOKARO,MEDIUM COKING,300-600,INDICATED,182.9
India,Jharkhand,"Financial Year (Apr - Mar), 2018",WEST BOKARO,MEDIUM COKING,300-600,INFERRED,5
India,Jharkhand,"Financial Year (Apr - Mar), 2018",WEST BOKARO,MEDIUM COKING,300-600,PROVED,486.46
India,Jharkhand,"Financial Year (Apr - Mar), 2018",WEST BOKARO,NON-COKING,0-300,INDICATED,21.8
India,Jharkhand,"Financial Year (Apr - Mar), 2018",WEST BOKARO,NON-COKING,0-300,PROVED,316.57
India,Jharkhand,"Financial Year (Apr - Mar), 2018",WEST BOKARO,NON-COKING,300-600,INDICATED,19.07
India,Jharkhand,"Financial Year (Apr - Mar), 2018",WEST BOKARO,NON-COKING,300-600,PROVED,25.68
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",GURGUNDA,NON-COKING,0-300,INDICATED,72.54
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",GURGUNDA,NON-COKING,0-300,INFERRED,2.25
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",GURGUNDA,NON-COKING,300-600,INDICATED,12.38
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",GURGUNDA,NON-COKING,300-600,INFERRED,44.98
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",GURGUNDA,NON-COKING,600-1200,INFERRED,6.16
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",JOHILLA,NON-COKING,0-300,INDICATED,104.09
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",JOHILLA,NON-COKING,0-300,INFERRED,32.83
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",JOHILLA,NON-COKING,0-300,PROVED,185.08
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",MOHPANI,NON-COKING,0-300,PROVED,7.83
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PATHAKHERA,NON-COKING,0-300,INDICATED,51.7
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PATHAKHERA,NON-COKING,0-300,PROVED,261.08
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PATHAKHERA,NON-COKING,300-600,INDICATED,36.43
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PATHAKHERA,NON-COKING,300-600,INFERRED,68
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PATHAKHERA,NON-COKING,300-600,PROVED,29.72
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,MEDIUM COKING,0-300,INDICATED,263.11
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,MEDIUM COKING,0-300,INFERRED,16.41
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,MEDIUM COKING,0-300,PROVED,67.54
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,MEDIUM COKING,300-600,INDICATED,136.9
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,MEDIUM COKING,300-600,INFERRED,142.17
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,MEDIUM COKING,300-600,PROVED,40.29
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,NON-COKING,0-300,INDICATED,203.72
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,NON-COKING,0-300,INFERRED,139.38
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,NON-COKING,0-300,PROVED,1096.28
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,NON-COKING,300-600,INDICATED,366.61
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,NON-COKING,300-600,INFERRED,683.39
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,NON-COKING,300-600,PROVED,272.77
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",PENCH-KANHAN,NON-COKING,600-1200,INFERRED,0.86
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SINGRAULI,NON-COKING,0-300,INDICATED,2298.41
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SINGRAULI,NON-COKING,0-300,INFERRED,1381.47
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SINGRAULI,NON-COKING,0-300,PROVED,5672.29
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SINGRAULI,NON-COKING,300-600,INDICATED,2929.67
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SINGRAULI,NON-COKING,300-600,INFERRED,952.9
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SINGRAULI,NON-COKING,300-600,PROVED,2007.71
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SINGRAULI,NON-COKING,600-1200,INDICATED,171.6
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SINGRAULI,NON-COKING,600-1200,INFERRED,110.4
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SINGRAULI,NON-COKING,600-1200,PROVED,10.81
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SOHAGPUR,MEDIUM COKING,0-300,INDICATED,211.38
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SOHAGPUR,MEDIUM COKING,0-300,INFERRED,2.01
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SOHAGPUR,MEDIUM COKING,0-300,PROVED,184.57
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",SOHAGPUR,MEDIUM COKING,300-600,INDICATED,866.78
