Country,State,Year,Types Of Coal,Coal Consuming Sectors,"Coal Consumed (UOM:t(Tonne)), Scaling Factor:1000000"
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.214
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CHEMICAL,0.089
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.621
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.022
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),34.288
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.137
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.035
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.289
India,Assam,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.037
India,Assam,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.064
India,Assam,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),1.997
India,Bihar,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.641
India,Bihar,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),21.183
India,Bihar,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.539
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),0.082
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,2.252
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,COLLIERY OWN - CONSUMPTION,0.01
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.075
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,5.194
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),75.632
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,5.338
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.118
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.192
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,BRICKS,0.454
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,CEMENT,0.144
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,CHEMICAL,0.298
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,FERTILISERS,0.002
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,OTHER,2.794
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,POWER (CAPTIVE),6.087
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,PULP & PAPER,0.438
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,SPONGE IRON,0.014
India,Gujarat,"Financial Year (Apr - Mar), 2020",LIGNITE,TEXTILES & RAYONS,0.122
India,Gujarat,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.298
India,Gujarat,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,1.168
India,Gujarat,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),16.169
India,Gujarat,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.072
India,Haryana,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),0.006
India,Haryana,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.368
India,Haryana,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.001
India,Haryana,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),11.379
India,Haryana,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.428
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.027
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.004
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.00784808425629813
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.00981010532037267
India,Jharkhand,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),2.647
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,BRICKS,0.024
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.08
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,COKERIES,0.513
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,COLLIERY OWN - CONSUMPTION,0.015
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,METALLURGICAL USE- DIRECT FEED,5.668
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,3.705
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),29.981
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.525
India,Jharkhand,"Financial Year (Apr - Mar), 2020",RAW COAL,STEEL (BOILERS),0.234
India,Jharkhand,"Financial Year (Apr - Mar), 2020",WASHED COAL,COKERIES,1.526
India,Jharkhand,"Financial Year (Apr - Mar), 2020",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.179
India,Jharkhand,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),3.154
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.635
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,CHEMICAL,0.003
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.033
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),12.224
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.1
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.012
India,Karnataka,"Financial Year (Apr - Mar), 2020",RAW COAL,TEXTILES & RAYONS,0.068
India,Kerala,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.036
India,Ladakh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.000151915743701868
India,Ladakh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.000189894679627335
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,1.521
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,COKERIES,0.046
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,COLLIERY OWN - CONSUMPTION,0.001
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.008
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,2.629
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),77.563
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.001
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.03
India,Maharashtra,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,1.743
India,Maharashtra,"Financial Year (Apr - Mar), 2020",RAW COAL,CHEMICAL,0.004
India,Maharashtra,"Financial Year (Apr - Mar), 2020",RAW COAL,COLLIERY OWN - CONSUMPTION,0.003
India,Maharashtra,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,4.2
India,Maharashtra,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),63.019
India,Maharashtra,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.045
India,Maharashtra,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.52
India,Maharashtra,"Financial Year (Apr - Mar), 2020",RAW COAL,TEXTILES & RAYONS,0.021
India,Maharashtra,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.032
India,Meghalaya,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.037
India,Meghalaya,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.107
India,Meghalaya,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),0.011
India,Odisha,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),0.162
India,Odisha,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.206
India,Odisha,"Financial Year (Apr - Mar), 2020",RAW COAL,COLLIERY OWN - CONSUMPTION,0.002
India,Odisha,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.02
India,Odisha,"Financial Year (Apr - Mar), 2020",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.079
India,Odisha,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,13.403
India,Odisha,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.473
India,Odisha,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),58.744
India,Odisha,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.117
India,Odisha,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,2.994
India,Odisha,"Financial Year (Apr - Mar), 2020",WASHED COAL,COKERIES,0.517
India,Odisha,"Financial Year (Apr - Mar), 2020",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.197
India,Odisha,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),0.089
India,Punjab,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.608
India,Punjab,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.039
India,Punjab,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),12.414
India,Rajasthan,"Financial Year (Apr - Mar), 2020",LIGNITE,CEMENT,0.224
India,Rajasthan,"Financial Year (Apr - Mar), 2020",LIGNITE,OTHER,0.483
India,Rajasthan,"Financial Year (Apr - Mar), 2020",LIGNITE,OTHER BASIC-METAL (ALUMINIUM ETC),0.043
India,Rajasthan,"Financial Year (Apr - Mar), 2020",LIGNITE,POWER (CAPTIVE),7.348
India,Rajasthan,"Financial Year (Apr - Mar), 2020",LIGNITE,TEXTILES & RAYONS,0.04
India,Rajasthan,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.28
India,Rajasthan,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.327
India,Rajasthan,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.51
India,Rajasthan,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),15.391
India,Rajasthan,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),11.233
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",LIGNITE,BRICKS,0.011
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",LIGNITE,CEMENT,0.628
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",LIGNITE,METALLURGICAL USE- DIRECT FEED,0.021
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",LIGNITE,OTHER,0.111
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",LIGNITE,POWER (CAPTIVE),22.897
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",LIGNITE,PULP & PAPER,0.108
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",RAW COAL,BRICKS,0.002
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.089
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.083
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),18.2
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.004
India,Telangana,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,1.246
India,Telangana,"Financial Year (Apr - Mar), 2020",RAW COAL,CHEMICAL,0.113
India,Telangana,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,1.762
India,Telangana,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.108
India,Telangana,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),31.29
India,Telangana,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.836
India,Telangana,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.074
India,Telangana,"Financial Year (Apr - Mar), 2020",RAW COAL,TEXTILES & RAYONS,0.012
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),0.086
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,CEMENT,0.158
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,FERTILISERS,0.143
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,6.519
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),79.342
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.234
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),3.523
India,Uttarakhand,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,0.317
India,Uttarakhand,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),0.648
India,West Bengal,"Financial Year (Apr - Mar), 2020",MIDDLINGS,POWER (CAPTIVE),0.604
India,West Bengal,"Financial Year (Apr - Mar), 2020",RAW COAL,COLLIERY OWN - CONSUMPTION,0.18
India,West Bengal,"Financial Year (Apr - Mar), 2020",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.221
India,West Bengal,"Financial Year (Apr - Mar), 2020",RAW COAL,OTHER,1.75
India,West Bengal,"Financial Year (Apr - Mar), 2020",RAW COAL,POWER (CAPTIVE),49.044
India,West Bengal,"Financial Year (Apr - Mar), 2020",RAW COAL,PULP & PAPER,0.014
India,West Bengal,"Financial Year (Apr - Mar), 2020",RAW COAL,SPONGE IRON,0.64
India,West Bengal,"Financial Year (Apr - Mar), 2020",WASHED COAL,COKERIES,0.547
India,West Bengal,"Financial Year (Apr - Mar), 2020",WASHED COAL,METALLURGICAL USE- DIRECT FEED,0.169
India,West Bengal,"Financial Year (Apr - Mar), 2020",WASHED COAL,POWER (CAPTIVE),1.029
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.383
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,CHEMICAL,0.096
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.693
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.052
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),2.199
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),32.156
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,PULP & PAPER,0.181
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,0.062
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",WASHED COAL,OTHER,0.336
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",WASHED COAL,POWER (UTILITY),0.027
India,Assam,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.032
India,Assam,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.092
India,Assam,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),0.01
India,Assam,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),1.467
India,Assam,"Financial Year (Apr - Mar), 2019",WASHED COAL,POWER (UTILITY),0.007
India,Bihar,"Financial Year (Apr - Mar), 2019",MIDDLINGS,POWER (UTILITY),0.005
India,Bihar,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.579
India,Bihar,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),18.337
India,Bihar,"Financial Year (Apr - Mar), 2019",WASHED COAL,POWER (UTILITY),0.112
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",MIDDLINGS,STEEL (BOILERS),0.018
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,1.875
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,COLLIERY OWN - CONSUMPTION,0.005
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.205
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,3.821
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.003
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),8.703
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),67.847
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,PULP & PAPER,0.018
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,6.42
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",WASHED COAL,METALLURGICAL USE- COKERIES,0.022
India,Chhattisgarh,"Financial Year (Apr - Mar), 2019",WASHED COAL,OTHER,0.167
India,Delhi,"Financial Year (Apr - Mar), 2019",MIDDLINGS,POWER (UTILITY),0.055
India,Delhi,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.001
India,Delhi,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),0.468
India,Delhi,"Financial Year (Apr - Mar), 2019",WASHED COAL,POWER (UTILITY),0.33
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,BRICKS,0.623
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,CEMENT,0.286
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,CHEMICAL,0.324
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,FERTILISERS,0.001
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,OTHER,0.959
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,POWER (CAPTIVE),7.294
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,PULP & PAPER,0.463
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,SPONGE IRON,0.048
India,Gujarat,"Financial Year (Apr - Mar), 2019",LIGNITE,TEXTILES & RAYONS,2.557
India,Gujarat,"Financial Year (Apr - Mar), 2019",RAW COAL,FERTILISERS,0.478
India,Gujarat,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.256
India,Gujarat,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),0.47
India,Gujarat,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),20.2
India,Gujarat,"Financial Year (Apr - Mar), 2019",RAW COAL,PULP & PAPER,0.04
India,Gujarat,"Financial Year (Apr - Mar), 2019",RAW COAL,TEXTILES & RAYONS,0.026
India,Haryana,"Financial Year (Apr - Mar), 2019",MIDDLINGS,POWER (UTILITY),0.008
India,Haryana,"Financial Year (Apr - Mar), 2019",RAW COAL,FERTILISERS,0.364
India,Haryana,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.076
India,Haryana,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),17.147
India,Haryana,"Financial Year (Apr - Mar), 2019",WASHED COAL,POWER (UTILITY),0.516
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.022
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.011
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.024
India,Jharkhand,"Financial Year (Apr - Mar), 2019",MIDDLINGS,OTHER,0.47
India,Jharkhand,"Financial Year (Apr - Mar), 2019",MIDDLINGS,POWER (CAPTIVE),1.108
India,Jharkhand,"Financial Year (Apr - Mar), 2019",MIDDLINGS,POWER (UTILITY),0.902
India,Jharkhand,"Financial Year (Apr - Mar), 2019",MIDDLINGS,STEEL (BOILERS),0.338
India,Jharkhand,"Financial Year (Apr - Mar), 2019",RAW COAL,BRICKS,0.081
India,Jharkhand,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.01
India,Jharkhand,"Financial Year (Apr - Mar), 2019",RAW COAL,COLLIERY OWN - CONSUMPTION,0.019
India,Jharkhand,"Financial Year (Apr - Mar), 2019",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.219
India,Jharkhand,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,10.115
India,Jharkhand,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),7.385
India,Jharkhand,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),25.529
India,Jharkhand,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,0.431
India,Jharkhand,"Financial Year (Apr - Mar), 2019",RAW COAL,STEEL (BOILERS),0.248
India,Jharkhand,"Financial Year (Apr - Mar), 2019",WASHED COAL,METALLURGICAL USE- COKERIES,1.657
India,Jharkhand,"Financial Year (Apr - Mar), 2019",WASHED COAL,OTHER,0.237
India,Jharkhand,"Financial Year (Apr - Mar), 2019",WASHED COAL,POWER (UTILITY),0.872
India,Karnataka,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.94
India,Karnataka,"Financial Year (Apr - Mar), 2019",RAW COAL,CHEMICAL,0.004
India,Karnataka,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.06
India,Karnataka,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),1.357
India,Karnataka,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),12.256
India,Karnataka,"Financial Year (Apr - Mar), 2019",RAW COAL,PULP & PAPER,0.034
India,Karnataka,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,0.023
India,Karnataka,"Financial Year (Apr - Mar), 2019",RAW COAL,TEXTILES & RAYONS,0.074
India,Kerala,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.04
India,Ladakh,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0
India,Ladakh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",MIDDLINGS,POWER (UTILITY),0.037
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,1.063
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,CHEMICAL,0.022
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,COLLIERY OWN - CONSUMPTION,0.006
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,METALLURGICAL USE- COKERIES,0.041
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,3.725
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),21.731
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),56.377
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,PULP & PAPER,0.15
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,0.064
India,Maharashtra,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,2.061
India,Maharashtra,"Financial Year (Apr - Mar), 2019",RAW COAL,COLLIERY OWN - CONSUMPTION,0.003
India,Maharashtra,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,4.795
India,Maharashtra,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),0.67
India,Maharashtra,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),65.169
India,Maharashtra,"Financial Year (Apr - Mar), 2019",RAW COAL,PULP & PAPER,0.436
India,Maharashtra,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,0.62
India,Maharashtra,"Financial Year (Apr - Mar), 2019",RAW COAL,TEXTILES & RAYONS,0.08
India,Maharashtra,"Financial Year (Apr - Mar), 2019",WASHED COAL,POWER (UTILITY),0.106
India,Meghalaya,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.046
India,Meghalaya,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.019
India,Meghalaya,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),0.022
India,Odisha,"Financial Year (Apr - Mar), 2019",MIDDLINGS,OTHER,0.081
India,Odisha,"Financial Year (Apr - Mar), 2019",MIDDLINGS,POWER (CAPTIVE),0.034
India,Odisha,"Financial Year (Apr - Mar), 2019",MIDDLINGS,STEEL (BOILERS),0.03
India,Odisha,"Financial Year (Apr - Mar), 2019",RAW COAL,CEMENT,0.221
India,Odisha,"Financial Year (Apr - Mar), 2019",RAW COAL,COLLIERY OWN - CONSUMPTION,0.003
India,Odisha,"Financial Year (Apr - Mar), 2019",RAW COAL,FERTILISERS,0.053
India,Odisha,"Financial Year (Apr - Mar), 2019",RAW COAL,METALLURGICAL USE- DIRECT FEED,0.243
India,Odisha,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,13.817
India,Odisha,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER BASIC-METAL (ALUMINIUM ETC),0.714
India,Odisha,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),23.993
India,Odisha,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (UTILITY),31.013
India,Odisha,"Financial Year (Apr - Mar), 2019",RAW COAL,PULP & PAPER,0.117
India,Odisha,"Financial Year (Apr - Mar), 2019",RAW COAL,SPONGE IRON,3.425
India,Odisha,"Financial Year (Apr - Mar), 2019",WASHED COAL,METALLURGICAL USE- COKERIES,0.677
India,Odisha,"Financial Year (Apr - Mar), 2019",WASHED COAL,OTHER,0.077
India,Punjab,"Financial Year (Apr - Mar), 2019",LIGNITE,CEMENT,0.305
India,Punjab,"Financial Year (Apr - Mar), 2019",LIGNITE,OTHER,0.711
India,Punjab,"Financial Year (Apr - Mar), 2019",LIGNITE,OTHER BASIC-METAL (ALUMINIUM ETC),0.186
India,Punjab,"Financial Year (Apr - Mar), 2019",LIGNITE,POWER (UTILITY),0.058
India,Punjab,"Financial Year (Apr - Mar), 2019",LIGNITE,TEXTILES & RAYONS,0.057
India,Punjab,"Financial Year (Apr - Mar), 2019",RAW COAL,FERTILISERS,0.557
India,Punjab,"Financial Year (Apr - Mar), 2019",RAW COAL,OTHER,0.098
India,Punjab,"Financial Year (Apr - Mar), 2019",RAW COAL,POWER (CAPTIVE),0.051
